,Invoice Number,Description,Payment Date,Distribution Amount,Supplier,Project diverted From,Project diverted to
0,1403W0519050005,"COWI A/S Invoices 13-135,714,603 and 14-142,022,704 So- roti Akisim Moroto",08-May-19,"42,366,708",COWI A/S,1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
1,1403W0519050007,"WHT COWI A/S Invoices 13- 19,138,585 and In- voice 14-19,476,520 Sorti Akisim Moroto Road",13-May-19,"38,615,105",UGANDA REV- ENUE AUTHOR- ITY,1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
2,1403W0519050008,"CCCC IPC 23F USD.1140422.65 + 35 @ 3,852.41 So- roti Akisim Mororo",10-May-19,"4,393,510,455",China Com- munications Construction Company Lim- ited (USD),1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
3,1403W0519050008,"CCCC IPC 23F USD.1140422.65 + 35 @ 3,852.41 So- roti Akisim Mororo",08-May-19,"4,393,510,455",China Com- munications Construction Company Lim- ited (USD),1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
4,1403W0519050009,CCCC IPC23L Soroti Akism Moroto,10-May-19,"2,874,687,372",China Com- munication Construction Company Ltd,1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
5,1403W0519050010,COWI A/S Inv 15 Soroti Akisim Moroto,08-May-19,"297,290,419",COWI A/S,1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
6,1403W0519050010,COWI A/S Inv 15 Soroti Akisim Moroto,08-May-19,"53,512,275",COWI A/S,1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
7,1403W0519050011,6% WHT on COWI A/S Inv 15 Soroti Akisim Moroto,13-May-19,"18,793,002",Uganda Rev- enue Authority,1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
8,1403W0519050012,GIBB Africa Inv 13 Soroti Akisim Moroto,08-May-19,"16,303,620",GIBB Africa Limited,1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
9,1403W0519050012,GIBB Africa Inv 13 Soroti Akisim Moroto,08-May-19,"90,575,667",GIBB Africa Limited,1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
10,1403W0519050013,6% WHT on GIBB Africa Inv 13 Soroti Akisim Moroto,13-May-19,"6,822,082",Uganda Rev- enue Authority,1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
11,1403W0519060001,"MBW Soroti Akisim Moroto Invoices 14 ugx:181,698,875 Invoice 15 ugx: 167,234,751 invoice 16 Ugx: 167,234,751 Supervision",20-Jun-19,"516,168,377",MBW Consult- ing Limited,1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
